ru,en
капитулировать,"capitulate, surrender, give in"
рысца,jog-trot
прослезиться,shed a few tears
заталкивать,"push, shove"
отчалить,cast off
фольга,foil
грудина,"breast-bone, sternum"
упиться,"get drunk, revel, be intoxicated"
стартёр,starter
гнойник,"ulcer, abscess, hotbed"
дотрагиваться,touch
развёртываться,"unroll, unfold, come unwrapped, show oneself, display oneself, spread, deploy, expand, be expanded, turn, slew"
накрутить,twist
кипятиться,"boil, get excited"
отощать,waste away
высмеять,"ridicule, make fun, deride, scoff"
единоличный,"individual peasant, personal"
перезвон,"ringing, chime"
жерло,"muzzle, crater, orifice"
отместка,revenge
эскорт,escort
надувать,"inflate, puff out, blow up, dupe, swindle"
трубный,trumpet
движимый,movable
поблажка,"indulgence, pampering"
сурок,marmot
пристраститься,"take, conceive a liking"
порушить,"pull down, hush"
перестраиваться,"reform, switch over, re-tune, to short waves, re-form"
дознание,"inquiry, inquest"
лодырь,"slacker, idler, loafer"
казахский,Kazakh
энтропия,entropy
линолеум,linoleum
молодцеватый,"dashing, sprightly"
равноправие,equality
скручивать,"twist, roll, bind, tie up, get down"
лодыжка,ankle
выманить,"entice, lure, coax, wheedle"
изрыгать,"vomit, spew, belch"
заходиться,sink
цветник,"flower garden, parterre, flower-bed, array, galaxy"
фолиант,"volume, folio"
втирать,rub
физиотерапевтический,physiotherapy
пенициллин,penicillin
обчистить,"clean, brush, rob, clean out"
стрельбище,"shooting-ground, shooting-range"
масонский,masonic
умозрительный,speculative
левиафан,leviathan
распивать,drink
писательница,"writer, authoress"
наличность,"amount on hand, cash in hand"
понижаться,"drop, sink"
откидной,"folding, collapsible"
отсекать,"cut off, chop off, sever"
отдирать,"tear off, rip off"
доморощенный,"home-bred, crude, primitive"
манёвренный,"manoeuvre, manoeuvring, manoeuvrable, shunting"
резня,"slaughter, butchery, carnage"
механизатор,"mechanization expert, machine-operator"
чертёжный,drawing
напускать,"fill, let loose, set"
островной,"insular, island"
фотографироваться,be photographed
слёт,"flight, gathering, meeting, rally"
нагоняй,"telling-off, rating, scolding"
джем,jam
насаждение,"plantation, planting, propagation, spreading"
фарс,farce
сладить,"cope, manage, bring round"
эзотерический,esoteric
машинописный,typewritten
наплести,"make by weaving, talk a lot of nonsense, slander"
присосаться,"stick, adhere by suction, fasten"
земледельческий,agricultural
пирушка,"junket, merry-making, binge, carousal"
микстура,"medicine, mixture"
беспристрастный,"impartial, unbiased"
обвешать,"cheat in weighing, give short weight, hang round, cover"
щепа,"wood chips, splinter, kindling"
потребный,"necessary, required, needful"
подаяние,"charity, alms, dole, handout"
вогнутый,concave
неприкрытый,"undisguised, barefaced"
пушнина,"furs, fur-skins, peltry, pelts"
хулить,"abuse, revile"
прожорливый,"voracious, gluttonous"
прослыть,"pass, be reputed"
бессвязный,incoherent
рецензент,"reviewer, reader"
паперть,"church-porch, parvis"
многотысячный,of many thousands
вероломный,"perfidious, treacherous"
конкурентоспособный,competitive
бесхозный,ownerless
общенародный,"national, public, common to the whole people"
беловатый,whitish
феодал,feudal lord
спячка,"hibernation, sleepiness, lethargy"
беднота,the poor
созидательный,"creative, constructive"
обтирать,"wipe, wipe dry, rub"
рыбачий,"fishing, piscatory"
сводчатый,"arched, vaulted"
увещевать,"exhort, admonish, remonstrate"
молдавский,Moldavian
телятина,veal
стенограмма,verbatim report
гороскоп,horoscope
супермен,superman
втягиваться,become keen
мрачнеть,"grow gloomy, darken"
бега,"the races, hiding"
спонтанный,spontaneous
ползучий,creeping
энциклопедический,encyclopaedic
крольчиха,doe-rabbit
эллин,"ancient Greek, Hellene"
полнолуние,full moon
провайдер,provider
подхалим,"toady, bootlicker, sycophant"
молодняк,"young growth, saplings, young animals, cubs, the younger generation, the youth"
тире,dash
растаскивать,"take away, remove, pilfer"
антисептический,antiseptic
голыш,"naked child, naked boy, naked baby doll, round flat stone"
зоология,zoology
обжигаться,burn oneself
растяжение,"tension, sprain"
рубленый,"minced, chopped, log"
захаживать,"look in, drop in"
генетик,geneticist
оливковый,"olive-coloured, olive-green"
гомеопатический,homoeopathic
канючить,pester with requests
фарцовщик,"black-marketeer, spiv"
разглаживать,"smooth out, iron out"
танин,tannin
подзабыть,forget partially
архангел,archangel
шушукаться,exchange whispered secrets
обтекаемый,"streamlined, smooth"
олух,"fool, blockhead"
глашатай,"herald, messenger"
уродовать,"disfigure, make look ugly, make look a fright, mutilate, maim, cripple"
абстракция,abstraction
погребальный,"funeral, funereal, sepulchral, obsequial"
каскад,cascade
разоружение,disarmament
непробиваемый,"impenetrable, impregnable"
отит,otitus
восстановительный,restoration
размолвка,"tiff, misunderstanding, disagreement"
поджог,arson
провиант,"provisions, victuals"
щитовидный,thyroid
кайма,border
прислужник,"servant, fawner, menial, servitor, underling"
беззаботность,"light-heartedness, carelessness"
стелить,to make a bed
копеечный,"worth one copeck, cheap, petty, twopenny-halfpenny"
получатель,recipient
дискредитировать,discredit
пикап,"light van, pickup"
проглатывать,"swallow, gulp down, choke down"
